Subject,Run,Factor 1,Factor 2
sub-010144,post-ses-02-run-01-acq-PA,0.8007548674248279,0.5541950561931417
sub-010144,post-ses-02-run-02-acq-PA,0.4836956084106964,0.22590691499696477
sub-010145,post-ses-02-run-01-acq-AP,0.6507672285724576,0.5834161741591846
sub-010145,post-ses-02-run-01-acq-PA,0.7266019445919406,0.6567750473045291
sub-010145,post-ses-02-run-02-acq-AP,0.7604340031658707,0.5026796560747426
sub-010145,post-ses-02-run-02-acq-PA,0.7310736990583778,0.5276001820494163
sub-010147,post-ses-02-run-01-acq-AP,0.6383233592143756,0.3980696300637714
sub-010147,post-ses-02-run-01-acq-PA,0.8847801213993758,0.026731555202287535
sub-010147,post-ses-02-run-02-acq-AP,0.26716302455434415,0.6961880441038026
sub-010147,post-ses-02-run-02-acq-PA,0.645460550979389,0.3410587646151273
sub-010152,post-ses-02-run-01-acq-PA,0.538747042584671,0.0
sub-010154,post-ses-02-run-01-acq-AP,0.2437627956397957,0.6368101811579744
sub-010154,post-ses-02-run-01-acq-PA,0.34136534202649665,0.590534502335803
sub-010154,post-ses-02-run-02-acq-AP,0.3664980819304217,0.36250979879190093
sub-010155,post-ses-02-run-01-acq-AP,0.6334339610110826,0.5272450289000802
sub-010155,post-ses-02-run-01-acq-PA,0.5373207768426463,0.5821677290359941
sub-010155,post-ses-02-run-02-acq-AP,0.5470915804560724,0.5241090278689777
sub-010155,post-ses-02-run-02-acq-PA,0.6214509943836954,0.5284453296280558
sub-010156,post-ses-02-run-01-acq-AP,0.5873547012294983,0.41139660495874475
sub-010156,post-ses-02-run-01-acq-PA,0.6420942067728661,0.4188377355258838
sub-010156,post-ses-02-run-02-acq-AP,0.4402641547274152,0.39315241344950824
sub-010156,post-ses-02-run-02-acq-PA,0.5827251766430271,0.4015132479048784
sub-010157,post-ses-02-run-01-acq-AP,0.7883167957199532,0.0
sub-010157,post-ses-02-run-01-acq-PA,0.8718045469662623,0.0
sub-010157,post-ses-02-run-02-acq-AP,0.8207173293745642,0.00916749214219032
sub-010157,post-ses-02-run-02-acq-PA,0.915492723343704,0.01886609583050399
sub-010158,post-ses-02-run-01-acq-PA,0.8551975067564441,0.0
sub-010158,post-ses-02-run-02-acq-AP,0.5112970589044685,0.17628202109959396
sub-010158,post-ses-02-run-02-acq-PA,0.7029524176925798,0.2117110904471912
sub-010159,post-ses-02-run-01-acq-PA,0.6488812609541619,0.3890812949014925
sub-010159,post-ses-02-run-02-acq-AP,0.6735702805470051,0.35673592022581535
sub-010159,post-ses-02-run-02-acq-PA,0.5454128417443446,0.6033203954292113
sub-010161,post-ses-02-run-01-acq-AP,0.72208067848657,0.1723658690070214
sub-010161,post-ses-02-run-01-acq-PA,0.7721493456685631,0.1819057933599521
sub-010161,post-ses-02-run-02-acq-AP,0.684429384817492,0.11049389093750663
sub-010161,post-ses-02-run-02-acq-PA,0.6902064283267667,0.07886894243964487
sub-010022,post-ses-02-run-01-acq-AP,0.6967707805335595,0.10643639281584778
sub-010022,post-ses-02-run-01-acq-PA,0.6561604629520897,0.11288336515506775
sub-010022,post-ses-02-run-02-acq-AP,0.8630423517607844,0.027758399724877397
sub-010162,post-ses-02-run-01-acq-AP,0.8746467524130163,0.4206840139279255
sub-010162,post-ses-02-run-01-acq-PA,0.447787421043168,0.5358362043200209
sub-010162,post-ses-02-run-02-acq-AP,0.5909148309166199,0.4341154080918676
sub-010162,post-ses-02-run-02-acq-PA,0.4670721936179524,0.25964446011339665
sub-010163,post-ses-02-run-01-acq-AP,0.41574874405781953,0.010581711469060508
sub-010163,post-ses-02-run-01-acq-PA,0.3899015215314214,0.0
sub-010163,post-ses-02-run-02-acq-AP,0.47502603876212723,0.0036805689524148327
sub-010163,post-ses-02-run-02-acq-PA,0.3417390460918857,0.1702776400058872
sub-010164,post-ses-02-run-01-acq-AP,0.6538614283927563,0.460443575305581
